,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Price ($),Dairy,Soy,Tree Nut,Wheat,Egg
Grilled Chicken Club Sandwich ,430,144,16,8,0,85,1120,37,3,7,37,30,40,25,15,6.19,1,1,0,1,0
Grilled Chicken Sandwich ,310,54,6,2,0,55,820,36,3,7,29,25,40,10,15,4.85,0,1,0,1,0
Chicken Deluxe ,500,207,23,7,0,75,1590,42,3,6,31,30,10,20,15,4.09,1,1,0,1,1
Classic Nuggets 12 piece,390,162,18,1.5,0,115,1460,14,2,1,41,0,8,4,8,5.19,1,0,0,1,1
Classic Nuggets 8 piece,260,110,12,3,0,70,990,9,1,1,28,0,2,4,8,3.63,1,0,0,1,1
Chick-fil-A Chicken Sandwich ,440,171,19,4,0,60,1350,40,2,5,28,2,4,15,15,3.49,1,1,0,1,1
Chocolate Milkshake Large,750,250,28,17,0,95,520,113,1,108,16,20,6,60,4,3.39,1,1,0,1,0
Chocolate Milkshake Small,600,210,23,14,0,75,410,90,1,86,13,15,6,45,2,2.95,1,1,0,1,0
Coffee Large,5,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1.59,,,,,
Coffee Small,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1.39,,,,,
Cookies & Cream Milkshake Large,700,290,33,17,0,95,550,100,1,94,17,20,6,60,15,3.39,,,,,
Cookies & Cream Milkshake Small,570,230,26,14,0,75,430,81,1,77,14,15,6,45,10,2.95,,,,,
Fruit Cup ,70,0,0,0,0,0,0,17,2,14,1,0,40,0,2,2.95,,,,,
Grilled Market Salad ,200,45,5,2,0,65,570,17,4,8,23,230,70,10,10,7.85,1,0,0,0,0
Icedream Ice Cream Cone,170,35,4,2,0,15,115,31,0,25,5,2,2,15,2,1.99,1,0,0,1,0
Icedream Ice Cream Cup,290,70,7,5,0,25,200,50,0,49,8,4,4,30,0,1.99,1,0,0,0,0
Milk ,90,18,2,1.5,0,10,95,11,0,11,7,8,0,25,0,1.29,,,,,
Peppermint Chocolate Chip Milkshake Large,910,261,29,19,0,85,520,146,1,124,15,20,6,50,6,3.39,,,,,
Peppermint Chocolate Chip Milkshake Small,660,207,23,14,0,70,400,103,1,89,12,15,4,40,4,2.95,,,,,
Side Salad ,70,40,5,3,0,15,110,5,2,2,5,90,40,15,4,3.09,1,0,0,0,0
Spicy Chicken Sandwich ,450,171,19,4,0,60,1620,41,1,5,29,4,2,15,15,3.6,1,1,0,1,1
Spicy Chicken Deluxe Sandwich ,540,225,25,8,0,80,1760,43,2,6,34,30,10,30,20,4.35,1,1,0,1,1
Vanilla Milkshake Large,660,250,27,16,0,95,510,91,0,90,16,20,6,60,2,3.39,1,0,0,0,0
Vanilla Milkshake Small,550,200,23,13,0,75,400,75,0,75,13,15,6,45,2,2.95,1,0,0,0,0
Waffle Fries Large,460,216,24,3.5,0,0,370,56,7,0,6,0,8,2,8,2.09,0,0,0,0,0
Waffle Fries Small,280,126,14,3.5,0,0,220,33,4,0,4,0,6,1,5,1.79,0,0,0,0,0
